name,date_filed,city,state,url,count,allegations
"(1) First Mile Square LLC & (2) First Student Inc., as single employer",2022-01-12,Mount Vernon,NY,https://www.nlrb.gov/case/02-CA-288824,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
10 Roads Express,2022-03-22,Harrisburg,PA,https://www.nlrb.gov/case/04-CA-292738,3,"8(a)(1) Coercive Actions (Surveillance, etc), 8(a)(1) Interrogation (including Polling), and 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
1199 SEIU (Chinese American Planning Council),2022-04-05,Brooklyn,NY,https://www.nlrb.gov/case/29-CB-293554,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199 SEIU (Chinese-American Planning Council),2022-04-05,Brooklyn,NY,https://www.nlrb.gov/case/29-CB-293575,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199 SEIU (Georgetown University),2022-01-12,Washington,DC,https://www.nlrb.gov/case/05-CB-288858,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199 SEIU (Maimonides Medical Center/Maimonides Health),2022-03-21,Brooklyn,NY,https://www.nlrb.gov/case/29-CB-292672,2,"8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining and 8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199 SEIU (Northwell Health CEMS Lenox Hill Hospital),2022-02-10,Manhattan,NY,https://www.nlrb.gov/case/02-CB-290496,2,"8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining and 8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199 SEIU United Healthcare Workers East (Jamaica Hospital Medical Center),2022-03-30,Queens,NY,https://www.nlrb.gov/case/29-CB-293395,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199 SEIU United Healthcare Workers East (Kaleida Health),2022-03-16,Buffalo,NY,https://www.nlrb.gov/case/03-CB-292323,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199 SEIU(Planned Parenthood Federation of America,2022-01-21,New York,NY,https://www.nlrb.gov/case/02-CB-289380,2,8(b)(1)(A) Union Dues and/or Membership Related (including excessive fees) and 8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining
1199- SEIU Montefiore Medical Center (Montefiore Medical Center Vaccination Program at the Atrium),2022-03-11,Bronx,NY,https://www.nlrb.gov/case/02-CB-292161,4,"8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining, 8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access, 8(b)(2) Hiring Hall Related, and 8(b)(1)(A) Hiring Halls"
1199SEIU United Healthcare Workers East (Concourse Rehab and Nursing Center),2022-03-23,New York,NY,https://www.nlrb.gov/case/02-CB-292756,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199SEIU United Healthcare Workers East (Montefiore New Rochelle),2022-02-18,New York,NY,https://www.nlrb.gov/case/02-CB-291217,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199SEIU United Healthcare Workers East (New York Presbyterian-Allen Hospital),2022-03-08,Manhattan,NY,https://www.nlrb.gov/case/02-CB-292157,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199SEIU United Healthcare Workers East (New York Presbyterian/Lower Manhattan Hospital),2022-02-11,New York,NY,https://www.nlrb.gov/case/02-CB-290612,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
1199SEIU United Healthcare Workers East (White Plains Hospital),2022-02-14,White Plains,NY,https://www.nlrb.gov/case/02-CB-290517,3,"8(b)(1)(B) Other Allegations, 8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining, and 8(b)(1)(A) Coercion, incl'g Statements and Violence"
"20th Century Television/Disney ""Big Sky S2""",2022-01-06,Rio Rancho,NM,https://www.nlrb.gov/case/28-CA-288671,2,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline) and 8(a)(5) Refusal to Furnish Information"
32 BJ,2022-02-21,Manhattan,NY,https://www.nlrb.gov/case/02-CB-291014,1,8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining
32 BJ (Cushman And Wakefield),2022-03-02,Manhattan,NY,https://www.nlrb.gov/case/02-CB-291688,4,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access, 8(b)(3) Refusal to Bargain/Bad Faith or Surface Bargaining, 8(b)(1)(A) Hiring Halls, and 8(b)(2) Hiring Hall Related"
32 BJ Legal Services Trust Fund,2022-04-13,New York,NY,https://www.nlrb.gov/case/02-CA-293989,2,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes] and 8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
32BJ SEIU (Bravo General Maintenance),2022-03-23,Newark,NJ,https://www.nlrb.gov/case/22-CB-292901,1,"8(b)(1)(A) Duty of Fair Representation, incl'g Superseniority, denial of access"
"360 Industrial Services, and Sunfolding (Joint Employers)",2022-01-24,Sanford,ME,https://www.nlrb.gov/case/03-CA-289318,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
360 Sheet Metal Products,2022-02-16,Vancouver,WA,https://www.nlrb.gov/case/19-CA-290748,1,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
3C Contracting,2022-01-04,Zanesville,OH,https://www.nlrb.gov/case/08-CA-288486,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
3M,2022-03-04,St. Paul,MN,https://www.nlrb.gov/case/18-CA-291716,1,8(a)(3) Discipline
3M,2022-04-13,Tonawanda,NY,https://www.nlrb.gov/case/03-CA-293996,1,8(a)(3) Changes in Terms and Conditions of Employment
"536 Realty Company LLC, c/o Pinnacle Management",2022-04-13,New York,NY,https://www.nlrb.gov/case/02-CA-294002,1,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
6K INC.,2022-02-02,North Andover,MA,https://www.nlrb.gov/case/01-CA-290023,5,"8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting)), 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.), 8(a)(3) Changes in Terms and Conditions of Employment, 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline), and 8(a)(4) Discharge (including Layoff and Refusal to Hire)"
7-Eleven,2022-04-01,La Porte,TX,https://www.nlrb.gov/case/16-CA-293342,3,"8(a)(1) Interrogation (including Polling), 8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline), and 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
"800 Medcalf Lane North Operations, LLC, d/b/a Montesano Health-Rehab Center",2022-03-02,Montesano,WA,https://www.nlrb.gov/case/19-CA-291539,4,"8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing), 8(a)(1) Coercive Actions (Surveillance, etc), 8(a)(3) Changes in Terms and Conditions of Employment, and 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
A & S Cooling Mechanical Contractors,2022-01-24,Runnemede,NJ,https://www.nlrb.gov/case/04-CA-289364,2,"8(a)(1) Interrogation (including Polling) and 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
A & S Cooling Mechanical Contractors,2022-02-18,Runnemede,NJ,https://www.nlrb.gov/case/04-CA-290885,2,8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting)) and 8(a)(3) Changes in Terms and Conditions of Employment
A.h. Management Group,2022-02-15,Rolling Meadows,NA,https://www.nlrb.gov/case/13-CA-290613,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
A&T Stainless,2022-01-27,Midland,PA,https://www.nlrb.gov/case/06-CA-289668,1,8(a)(5) Refusal to Furnish Information
AAA - Texas Auto Club of Southern California ACSC,2022-03-08,Coppell,TX,https://www.nlrb.gov/case/16-CA-291936,1,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline)"
AAA - Texas Auto Club of Southern California ACSC,2022-03-28,Coppell,TX,https://www.nlrb.gov/case/16-CA-293068,2,"8(a)(1) Concerted Activities (Retaliation, Discharge, Discipline) and 8(a)(3) Discipline"
"AAA Northern California, Nevada & Utah",2022-02-18,Walnut Creek,CA,https://www.nlrb.gov/case/32-CA-291041,1,8(a)(5) Repudiation/Modification of Contract [Sec 8(d)/Unilateral Changes]
"AAA Northern California, Nevada & Utah",2022-02-23,Walnut Creek,CA,https://www.nlrb.gov/case/32-CA-291138,1,8(a)(3) Discharge (Including Layoff and Refusal to Hire (not salting))
"AAA Northern California, Nevada & Utah",2022-03-18,Walnut Creek,CA,https://www.nlrb.gov/case/32-CA-292625,1,8(a)(1) Weingarten
"AARHUSKARLSHAMN USA, INC.",2022-01-31,Louisville,KY,https://www.nlrb.gov/case/09-CA-289912,3,"8(a)(3) Discipline, 8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing), and 8(a)(1) Coercive Statements (Threats, Promises of Benefits, etc.)"
"ABC Construction Co., Inc.",2022-03-16,Bensalem,PA,https://www.nlrb.gov/case/04-CA-292390,1,8(a)(5) Refusal to Bargain/Bad Faith Bargaining (incl'g surface bargaining/direct dealing)
ABF Freight,2022-03-04,Omaha,NE,https://www.nlrb.gov/case/14-CA-291628,1,8(a)(3) Discipline
